section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,"Graduate Student, M.S., Program Evaluation and Data Analytics",Arizona State University,"Tempe, AZ",2025,NA,NA,NA,NA
education,TRUE,Logistics Readiness Officer Course,Air Education and Training Command,"Wichita Falls, TX",2024,2024,NA,NA,NA
education,TRUE,Nuclear Fundamentals Course,Air Force Institute of Technology,"Albuquerque, NM",2021,2021,NA,NA,NA
education,TRUE,Squadron Officer School,Air Education and Training Command,"Montgomery, AL",2019,2019,NA,NA,NA
education,TRUE,"B.A., Chinese Language and Literature, Pre-Med",Emory University,"Atlanta, GA",2009,2013,NA,NA,NA
military_positions,TRUE,"Flight Commander, Fuels and Ground Transportation",445 Logistics Readiness Squadron,"Dayton, OH",2024,2026,"Leads two teams responsible for overall management, maintenance, and accountability of the 445th Airlift Wing's ground transportation operations and fuels distribution, supporting nine C17 Globemaster III aircraft in their strategic airlift missions.",NA,NA
military_positions,TRUE,"Flight Commander, Vehicle Management",920 Logistics Readiness Squadron,"Patrick SFB, FL",2024,2024,"Lead a team responsible for overall management, maintenance, and accountability of the 920th Rescue Wing's vehicle fleet and assigns, accounts for, and maintains vehicle assets to meet the needs of the mission through repairs, data-analysis, and record-keeping.",NA,NA
military_positions,TRUE,"Assistant Director of Operations, Mobile Sensors",22 Surveillance Squadron,"Patrick SFB, FL",2022,2023,Managed office responsible for ship-borne radar system conducting ballistic missile technical operations. Stood in for Director of Operations duties as needed.,NA,NA
military_positions,TRUE,"Deputy Flight Commander, Operations Support Flight ",22 Surveillance Squadron,"Patrick SFB, FL",2021,2022,Directed operations of specialized office in charge of deployed assets and regional analysis teams. Stood in for flight commander supervisor duties as needed.,NA,NA
military_positions,TRUE,"Chief, Mobile Sensor Operations",22 Surveillance Squadron,"Patrick SFB, FL",2020,2021,"Deployed annually to manage operations of a $2.1 Billion ship-borne radar system conducting ballistic missile technical collections. Adapted to rapidly changing taskings and managed communications across multiple agencies, countries, and armed forces.",NA,NA
military_positions,TRUE,"Chief, Nuclear Cryptographic Operations",91 Operations Support Squadron,"Minot, ND",2020,2020,Initiated and directly led two of the largest cross-wing operations with zero emergencies/errors.,NA,NA
military_positions,TRUE,"Chief, Nuclear Cryptographic Training",91 Operations Support Squadron,"Minot, ND",2019,2020,"Developed and implemented training plan across hundreds of personnel, kept 100% accurate records and prevented compromises in the field by keeping personnel trained wing-wide.",NA,NA
military_positions,TRUE,Nuclear Cryptographic Operator,91 Operations Support Squadron,"Minot, ND",2017,2019,"Coded, inventoried, and maintained thousands of nuclear launch, enable, and inhibiting code equipment. Managed SME team adaptable to rapidly changing maintenance schedules and emergencies, providing on the job training.",NA,NA
industry_positions,TRUE,Missile Combat Crew Commander,490 Missile Squadron,"Great Falls, MT",2014,2017,"Operated $3.3B Minuteman III ICBM weapon system assets, pulled 161 in-field alerts with hundreds of successful maintenance and targeting operations.",NA,NA
